id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
2162635,162635 (2000 SS164),1.198270801,2.679414966,13569.24922,54839744.08,Earth,FALSE,16.73,FALSE
2277475,277475 (2005 WK4),0.2658,0.594346868,73588.72666,61438126.52,Earth,FALSE,20,TRUE
2512244,512244 (2015 YE18),0.722029558,1.614507173,114258.6921,49798724.94,Earth,FALSE,17.83,FALSE
3596030,(2012 BV13),0.096506147,0.215794305,24764.30314,25434972.72,Earth,FALSE,22.2,FALSE
3667127,(2014 GE35),,0.570216761,42737.73376,46275567,Earth,FALSE,20.09,TRUE
54138696,(2021 GY23),0.036354232,0.081290534,34297.58778,40585691.23,Earth,FALSE,24.32,FALSE
54189957,(2021 PY40),0.171614894,0.383742569,27529.47231,,Earth,FALSE,,FALSE
54230078,(2021 XD6),0.005327887,0.011913517,57544.47008,55115019.26,Earth,FALSE,28.49,FALSE
2088213,88213 (2001 AF2),0.350392641,0.783501764,56625.21012,69035980.04,Earth,FALSE,19.4,FALSE
3766065,(2016 YM),0.105816886,,48425.84033,38355261.56,Earth,FALSE,22,FALSE
54049873,(2020 OT6),0.252670754,0.564988982,58430.6972,38337496.95,Earth,,20.11,TRUE
54099949,(2020 XW4),0.152951935,0.342010925,64393.92832,71983105.31,Earth,FALSE,21.2,
54104555,(2021 AW1),0.069912523,0.156329154,38018.61529,52093021.6,Earth,FALSE,22.9,FALSE
54235433,(2022 AM),0.006145468,0.013741685,24323.04614,24617585.59,Earth,FALSE,28.18,FALSE
